index,is input,flow ID,flow name,flow category,flow unit,flow type,location ID,location name,location code
0,false,cc1c987a-2b6e-4cbc-969a-73f1c96de448,Sodium,Elementary flows/Emission to soil/industrial,kg,elementary,,,
1,false,7f8fd1ca-0412-4b2e-90fd-a9d294d947a3,Carbon,Elementary flows/Emission to soil/industrial,kg,elementary,,,
2,false,5719929a-8c5b-48cc-a039-b11a9f380467,Barium II,Elementary flows/Emission to soil/industrial,kg,elementary,,,
3,false,5ffb3576-740f-41ba-814f-8538d83a4b3b,Barium II,Elementary flows/Emission to air/high population density,kg,elementary,,,
4,false,997dccfb-6574-46b8-ad93-7f31074abf9a,Silicon,Elementary flows/Emission to air/high population density,kg,elementary,,,
5,false,c26d4716-ce1e-43da-a662-cd9498b1e8bc,Molybdenum VI,Elementary flows/Emission to air/high population density,kg,elementary,,,
6,false,98693cdf-d9fc-43ed-bfe6-78dfe5742d33,Iron ion,Elementary flows/Emission to soil/industrial,kg,elementary,,,
7,false,a912f450-5233-489b-a2e9-8c029fab480f,Calcium,Elementary flows/Emission to air/high population density,kg,elementary,,,
8,false,1eb1b94c-e9d8-47ab-969b-9cca920157d8,"Particulate Matter, > 10 um",Elementary flows/Emission to air/high population density,kg,elementary,,,
9,false,6dc1b46f-ee89-4495-95c4-b8a637bcd6cb,Dinitrogen monoxide,Elementary flows/Emission to air/high population density,kg,elementary,,,
10,false,88cde01c-df69-40bb-9b14-6eac71bea5b8,Copper ion,Elementary flows/Emission to air/high population density,kg,elementary,,,
11,false,2113ec49-2b48-4808-8e40-837769be8337,Bromine,Elementary flows/Emission to soil/industrial,kg,elementary,,,
12,false,6edcc2df-88a3-48e1-83d8-ffc38d31c35b,"Carbon monoxide, fossil",Elementary flows/Emission to air/high population density,kg,elementary,,,
13,false,ccb169c3-8aae-4727-89bb-a7dd122946f3,"Particulate Matter, > 2.5 um and < 10um",Elementary flows/Emission to air/high population density,kg,elementary,,,
14,false,39946c56-cdf6-4a22-9ac9-1cd333b65533,Toluene,Elementary flows/Emission to air/high population density,kg,elementary,,,
15,false,baf58fc9-573c-419c-8c16-831ac03203b9,"Methane, non-fossil",Elementary flows/Emission to air/high population density,kg,elementary,,,
16,false,bc269269-1874-4423-b5f0-eed0f5227684,Potassium I,Elementary flows/Emission to soil/industrial,kg,elementary,,,
17,false,aac39edf-68c5-4f38-9aa9-17e3ca265109,Potassium I,Elementary flows/Emission to air/high population density,kg,elementary,,,
18,false,7533d11b-e96e-4a99-80f2-91400a62d650,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",Elementary flows/Emission to soil/industrial,kg,elementary,,,
19,false,d85a44cb-8407-4997-a146-581e4f35f39d,Styrene,Elementary flows/Emission to air/high population density,kg,elementary,,,
20,false,5ad58fcc-e9ba-4155-a3c9-e4ffb3065a6f,Acetaldehyde,Elementary flows/Emission to air/high population density,kg,elementary,,,
21,false,a768b3a4-dce7-48f2-bb44-89c8a4ba00d1,Fluoride,Elementary flows/Emission to soil/industrial,kg,elementary,,,
22,false,9d1efa17-070a-4602-a65f-daf5056b0647,"PAH, polycyclic aromatic hydrocarbons",Elementary flows/Emission to air/high population density,kg,elementary,,,
23,false,e43a270f-4f88-4789-a0b8-7aba56677743,Nickel II,Elementary flows/Emission to air/high population density,kg,elementary,,,
24,false,2b2369a4-26bb-4b18-8479-752fdf7a5e7f,Antimony ion,Elementary flows/Emission to soil/industrial,kg,elementary,,,
25,false,16316600-f12a-410b-8726-3faee64de60a,Silver I,Elementary flows/Emission to soil/industrial,kg,elementary,,,
26,false,1bb6a502-3ff9-4a79-835c-5588b855f1f5,Benzene,Elementary flows/Emission to air/high population density,kg,elementary,,,
27,false,73ed05cc-9727-4abf-9516-4b5c0fe54a16,"Carbon dioxide, non-fossil",Elementary flows/Emission to air/high population density,kg,elementary,,,
28,false,6f0b8b7c-3888-4174-b7e3-916d42d678ee,Aluminium III,Elementary flows/Emission to air/high population density,kg,elementary,,,
29,false,57117e3c-15aa-4b4d-b953-6d33986aa5aa,Calcium,Elementary flows/Emission to soil/industrial,kg,elementary,,,
30,false,237a5f15-8119-472a-8988-88b7ecb42405,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",Elementary flows/Emission to air/high population density,kg,elementary,,,
31,false,2cba713d-ab0b-44cb-babb-f8cac262554f,Vanadium V,Elementary flows/Emission to air/high population density,kg,elementary,,,
32,false,456b8003-1508-4000-a53c-752e02023445,Polychlorinated biphenyls,Elementary flows/Emission to air/high population density,kg,elementary,,,
33,false,19b6e569-85a4-4ea9-a590-d61a21e3c846,Tin ion,Elementary flows/Emission to air/high population density,kg,elementary,,,
34,false,f9923ae7-bdab-44d8-897c-44310aea76b7,Iodine,Elementary flows/Emission to air/high population density,kg,elementary,,,
35,false,c126f8a0-6bc4-42e6-9220-d6ccfef3f2ed,Molybdenum VI,Elementary flows/Emission to soil/industrial,kg,elementary,,,
36,false,58a3086e-3ded-4751-a313-05608f725081,Boron,Elementary flows/Emission to soil/industrial,kg,elementary,,,
37,false,e65a9c58-21f1-48b6-b738-d05a8f10e5f3,Chromium III,Elementary flows/Emission to soil/industrial,kg,elementary,,,
38,false,ebc4c2a3-c004-4053-8048-f41fdd9324c8,Arsenic ion,Elementary flows/Emission to soil/industrial,kg,elementary,,,
39,false,748f22a9-eba4-4726-bef5-92c7442ce189,Zinc II,Elementary flows/Emission to air/high population density,kg,elementary,,,
40,false,36e53653-1338-42c7-816c-f6667809e0b1,Cadmium II,Elementary flows/Emission to air/high population density,kg,elementary,,,
41,false,eadc37a4-8b1e-4dd2-8f4a-39d89d5f39ba,Nitrogen,Elementary flows/Emission to soil/industrial,kg,elementary,,,
42,false,3e419ebc-c0f1-4f85-a544-cf3460a680b6,Boron,Elementary flows/Emission to air/high population density,kg,elementary,,,
43,false,ca04300a-8338-4601-ba7c-66c10a4f6322,Cobalt II,Elementary flows/Emission to air/high population density,kg,elementary,,,
44,false,32cd0492-c0cb-4898-a2b1-675eedc5b688,Iron ion,Elementary flows/Emission to air/high population density,kg,elementary,,,
45,false,8c52f40c-69b7-4538-8923-b371523c71f5,Sulfur dioxide,Elementary flows/Emission to air/high population density,kg,elementary,,,
46,false,c6462d84-caa9-425a-a923-45238690c6f3,Silver I,Elementary flows/Emission to air/high population density,kg,elementary,,,
47,true,af01e564-f816-4906-bd4f-b7c932f926b9,Oxygen,Elementary flows/Resource/in air,kg,elementary,,,
48,false,3ea5684a-6d64-4f96-8c09-1d90f997c9d4,Antimony ion,Elementary flows/Emission to air/high population density,kg,elementary,,,
49,false,98eb1d16-9d7a-4716-9be4-1449341a832f,Sodium,Elementary flows/Emission to air/high population density,kg,elementary,,,
50,false,e070bd24-fd16-4963-8f4d-78bb4c402400,Tin ion,Elementary flows/Emission to soil/industrial,kg,elementary,,,
51,false,bb6d97ec-cfaa-49e1-8105-89abf4319656,Iodide,Elementary flows/Emission to soil/industrial,kg,elementary,,,
52,false,f4d0a2c8-efef-4188-85da-5801097389a2,Arsenic ion,Elementary flows/Emission to air/high population density,kg,elementary,,,
53,false,56a24912-2d66-4124-87d8-f760c2fe3973,Selenium IV,Elementary flows/Emission to soil/industrial,kg,elementary,,,
54,false,89721e33-60fa-4447-bfc6-2f27d44a7893,Cadmium II,Elementary flows/Emission to soil/industrial,kg,elementary,,,
55,false,1a5850a0-0069-4b73-bb91-7a61e8d45ae5,Vanadium V,Elementary flows/Emission to soil/industrial,kg,elementary,,,
56,false,198ce8e3-f05a-4bec-9f7f-325347453326,Phosphorus,Elementary flows/Emission to air/high population density,kg,elementary,,,
57,false,f9749677-9c9f-4678-ab55-c607dfdc2cb9,"Carbon dioxide, fossil",Elementary flows/Emission to air/high population density,kg,elementary,,,
58,false,ebfe261d-ab0d-4ade-8743-183c8c6bdcc6,Magnesium,Elementary flows/Emission to air/high population density,kg,elementary,,,
59,false,b88999ec-84fd-462d-9dec-7e20a4636a58,Zinc II,Elementary flows/Emission to soil/industrial,kg,elementary,,,
60,false,d761d96f-d236-4131-89c8-ad3269d02a6b,Phenol,Elementary flows/Emission to air/high population density,kg,elementary,,,
61,false,5f7aad3d-566c-4d0d-ad59-e765f971aa0f,"Methane, fossil",Elementary flows/Emission to air/high population density,kg,elementary,,,
62,false,b0546417-3064-4878-bd6f-2da75cefdf63,Manganese II,Elementary flows/Emission to air/high population density,kg,elementary,,,
63,false,7705f0e1-5b14-44f4-b330-1245b5c7fc08,Chromium III,Elementary flows/Emission to air/high population density,kg,elementary,,,
64,false,6a903634-c97f-4c49-a7c0-88f0e6ac7a23,Lead II,Elementary flows/Emission to air/high population density,kg,elementary,,,
65,false,5d368100-b1bc-4456-8420-e469edccf349,Water,Elementary flows/Emission to air/high population density,m3,elementary,,,
66,false,257eacb9-96fe-4a3d-961a-f5e6c7823ff0,Hydrogen fluoride,Elementary flows/Emission to air/high population density,kg,elementary,,,
