index,is input,flow ID,flow name,flow category,flow unit,flow type,location ID,location name,location code
0,false,7ee0ddc3-924d-4339-b9bf-7856af6a698f,waste polyethylene,"E:Water supply; sewerage, waste management and remediation activities/38:Waste collection, treatment and disposal activities; materials recovery/382:Waste treatment and disposal/3821:Treatment and disposal of non-hazardous waste",kg,waste,,,
1,false,075e433b-4be4-448e-9510-9a5029c1ce94,Water,Elementary flows/Emission to air/unspecified,m3,elementary,,,
2,true,b0f4c2fb-5081-474a-8ffa-1457da8345db,"diesel, burned in building machine",F:Construction/43:Specialized construction activities/431:Demolition and site preparation/4312:Site preparation,MJ,product,,,
3,true,ef5d9b7f-0d4a-49b9-a2eb-eef36ded1c38,"concrete, 30MPa","C:Manufacturing/23:Manufacture of other non-metallic mineral products/239:Manufacture of non-metallic mineral products n.e.c./2395:Manufacture of articles of concrete, cement and plaster",m3,product,,,
4,true,0c826417-e870-4c43-95c4-b38ff2ff47d2,"excavation, hydraulic digger",F:Construction/43:Specialized construction activities/431:Demolition and site preparation/4312:Site preparation,m3,product,,,
5,true,37eceabd-b33f-4757-a4b9-5c51dee1710d,"gravel, crushed","B:Mining and quarrying/08:Other mining and quarrying/081:Quarrying of stone, sand and clay/0810:Quarrying of stone, sand and clay",kg,product,,,
6,false,48f6b7c9-093b-4dd0-bf0d-9ba54b4c2d22,"waste concrete, not reinforced","E:Water supply; sewerage, waste management and remediation activities/38:Waste collection, treatment and disposal activities; materials recovery/382:Waste treatment and disposal/3821:Treatment and disposal of non-hazardous waste",kg,waste,,,
7,false,9219c94a-7a25-4a4c-b25d-c096fdd50d47,waste polyvinylchloride,"E:Water supply; sewerage, waste management and remediation activities/38:Waste collection, treatment and disposal activities; materials recovery/382:Waste treatment and disposal/3821:Treatment and disposal of non-hazardous waste",kg,waste,,,
8,true,0da5307e-df93-4bc2-b5bc-6cda3cb55e8c,synthetic rubber,"C:Manufacturing/20:Manufacture of chemicals and chemical products/201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics/2013:Manufacture of plastics and synthetic rubber in primary forms",kg,product,,,
9,false,f6080ed9-2b32-318e-9873-fdcf738eb819,"Water, CH",Elementary flows/Emission to water/unspecified,m3,elementary,,,
10,true,759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage","D:Electricity, gas, steam and air conditioning supply/35:Electricity, gas, steam and air conditioning supply/351:Electric power generation, transmission and distribution/3510:Electric power generation, transmission and distribution",MJ,product,,,
11,true,fd3ee522-16db-41e4-967f-8bffe0b0ea87,"gravel, round","B:Mining and quarrying/08:Other mining and quarrying/081:Quarrying of stone, sand and clay/0810:Quarrying of stone, sand and clay",kg,product,,,
12,false,7513d2f5-d7ee-497b-971b-a5ad34ab5c83,"waste rubber, unspecified","E:Water supply; sewerage, waste management and remediation activities/38:Waste collection, treatment and disposal activities; materials recovery/382:Waste treatment and disposal/3821:Treatment and disposal of non-hazardous waste",kg,waste,,,
13,true,ec23da1b-e5fa-4f01-bd2c-3233fece2175,"cement, unspecified","C:Manufacturing/23:Manufacture of other non-metallic mineral products/239:Manufacture of non-metallic mineral products n.e.c./2394:Manufacture of cement, lime and plaster",kg,product,,,
14,true,f51d7ccf-0bee-430d-98a3-8334adbe39fc,sand,"B:Mining and quarrying/08:Other mining and quarrying/081:Quarrying of stone, sand and clay/0810:Quarrying of stone, sand and clay",kg,product,,,
15,false,5357a067-f798-46fb-97b0-fa18f723341b,waste reinforced concrete,"E:Water supply; sewerage, waste management and remediation activities/38:Waste collection, treatment and disposal activities; materials recovery/382:Waste treatment and disposal/3821:Treatment and disposal of non-hazardous waste",kg,waste,,,
16,true,29630a65-f38c-48a5-9744-c0121f586640,"Transformation, from unspecified",Elementary flows/Resource/land,m2,elementary,,,
17,true,4624deff-2016-41d4-b2bf-3db8dab88779,"Transformation, to industrial area",Elementary flows/Resource/land,m2,elementary,,,
18,true,1e8b4d56-39a8-4f15-b606-435b988945dc,"unreinforced concrete, 15MPa","C:Manufacturing/23:Manufacture of other non-metallic mineral products/239:Manufacture of non-metallic mineral products n.e.c./2395:Manufacture of articles of concrete, cement and plaster",m3,product,,,
19,true,fe9c3a98-a6d2-452d-a9a4-a13e64f1b95b,"Occupation, industrial area",Elementary flows/Resource/land,m2*a,elementary,,,
20,false,22e27360-4621-4591-8412-a4f2045ac1a0,waste asphalt,"E:Water supply; sewerage, waste management and remediation activities/38:Waste collection, treatment and disposal activities; materials recovery/382:Waste treatment and disposal/3821:Treatment and disposal of non-hazardous waste",kg,waste,,,
21,true,4b6b9b76-3199-4bd0-b11d-f8f2efbeac4e,"Occupation, construction site",Elementary flows/Resource/land,m2*a,elementary,,,
22,false,b0176c67-5bc0-462a-8466-4f372f446f7c,waste polystyrene,"E:Water supply; sewerage, waste management and remediation activities/38:Waste collection, treatment and disposal activities; materials recovery/382:Waste treatment and disposal/3821:Treatment and disposal of non-hazardous waste",kg,waste,,,
23,false,276e755c-ed57-466a-b555-4658c791f385,Beryllium II,Elementary flows/Emission to water/surface water,kg,elementary,,,
24,false,d6235194-e4e6-4548-bfa3-ac095131aef4,"Carbon dioxide, non-fossil",Elementary flows/Emission to air/low population density,kg,elementary,,,
25,false,061d04a0-af1d-4884-bdd3-997b6cd5550f,Boron,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
26,false,8f1b69d9-fc00-4b46-99f9-7a57fd71dad2,Strontium,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
27,false,c26d4716-ce1e-43da-a662-cd9498b1e8bc,Molybdenum VI,Elementary flows/Emission to air/high population density,kg,elementary,,,
28,false,24cf82f8-c517-4fef-8f93-17519adb855e,Barium II,Elementary flows/Emission to air/low population density,kg,elementary,,,
29,false,d4291dd5-dae8-47fa-bf06-466fcecbc210,Cobalt II,Elementary flows/Emission to water/surface water,kg,elementary,,,
30,false,e43a270f-4f88-4789-a0b8-7aba56677743,Nickel II,Elementary flows/Emission to air/high population density,kg,elementary,,,
31,false,36e53653-1338-42c7-816c-f6667809e0b1,Cadmium II,Elementary flows/Emission to air/high population density,kg,elementary,,,
32,false,66bfb434-78ab-4183-b1a7-7f87d08974fa,Mercury II,Elementary flows/Emission to water/surface water,kg,elementary,,,
33,false,e60edb16-3c74-415b-9aff-a22a6f49fecb,Arsenic ion,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
34,false,7ce56135-2ca5-4fba-ad52-d62a34bfeb35,Nitrate,Elementary flows/Emission to water/surface water,kg,elementary,,,
35,false,8b7dc667-f04e-492c-a161-80b1482126b0,Hydrogen fluoride,Elementary flows/Emission to air/low population density,kg,elementary,,,
36,false,5fa36ce3-aed0-443b-a09d-4cdf25b41995,Molybdenum VI,Elementary flows/Emission to air/low population density,kg,elementary,,,
37,false,4d40d8e3-9bc7-4ab1-ac5c-4f4a76fda8e5,Chromium III,Elementary flows/Emission to air/low population density,kg,elementary,,,
38,false,4295ed5b-9824-4bbf-97a4-fc4cabd87f0d,Strontium,Elementary flows/Emission to water/surface water,kg,elementary,,,
39,false,1e904267-caa3-40e6-a3a0-fc104489770b,Cobalt II,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
40,true,06b8d05b-e1e6-427b-929c-bb55e84e7c08,"ammonia, anhydrous, liquid","C:Manufacturing/20:Manufacture of chemicals and chemical products/201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics/2012:Manufacture of fertilizers and nitrogen compounds",kg,product,,,
41,true,0d978369-c529-46f1-97b8-bdb539bf31ba,"wastewater treatment facility, capacity 5E9l/year",F:Construction/42:Civil engineering/422:Construction of utility projects/4220:Construction of utility projects,Item(s),product,,,
42,false,35df5fe0-c90d-43b4-a35a-3d97022114d2,Silver I,Elementary flows/Emission to air/low population density,kg,elementary,,,
43,false,13331e67-6006-48c4-bdb4-340c12010036,Ammonium,Elementary flows/Emission to water/surface water,kg,elementary,,,
44,false,0405367e-b450-3279-a323-74110bfb61e4,"Ammonia, CH",Elementary flows/Emission to air/high population density,kg,elementary,,,
45,true,61396bcb-bf35-411a-a6a6-8543ccef83e8,"sodium hydroxide, without water, in 50% solution state","C:Manufacturing/20:Manufacture of chemicals and chemical products/201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics/2011:Manufacture of basic chemicals",kg,product,,,
46,false,ff36578b-f403-4656-b934-81d8d4e02dc8,Titanium ion,Elementary flows/Emission to water/surface water,kg,elementary,,,
47,false,bfc0bf1c-e5e2-4702-a502-08c892031837,Sulfate,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
48,false,2a46e7f4-c66c-43e5-8a8a-d119c4098aff,Titanium ion,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
49,false,9597c1a2-ecda-4a89-97c5-efcdc679058d,Potassium I,Elementary flows/Emission to air/low population density,kg,elementary,,,
50,false,a8fea8cf-9b09-49fc-aa58-5a732494a2a0,"COD, Chemical Oxygen Demand","Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
51,false,7e9baf19-8fa4-49c6-a3c2-2e875217e60b,Thallium I,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
52,false,175baa64-d985-4c5e-84ef-67cc3a1cf952,"NMVOC, non-methane volatile organic compounds",Elementary flows/Emission to air/high population density,kg,elementary,,,
53,false,83cf77ca-867b-4eef-b0f0-78d71b3d91d5,Antimony ion,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
